Timestamp,Full Name,Gender,Use phone for class notes,Buy books from mobile,Phone battery lasts a day,Run for charger when battery dies,Worry about losing phone,Take phone to bathroom,Use phone in social gathering,Check phone before sleep/after waking up,Keep phone next to you while sleeping,Check emails/missed calls/texts during class time,Rely on phone when things get awkward,On phone while watching TV/eating,Panic attack if phone left elsewhere,Respond to messages/check phone on date,Use phone for playing games,Can live a day without phone,Phone Dependency Level
2023-01-01 00:48:00,User_49,Female,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,Moderate
2023-01-01 00:49:00,User_50,Female,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,High
2023-01-01 00:50:00,User_51,Male,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,High
2023-01-01 00:51:00,User_52,Female,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,High
2023-01-01 00:52:00,User_53,Male,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,High
2023-01-01 00:53:00,User_54,Female,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,High
2023-01-01 00:54:00,User_55,Male,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,High
2023-01-01 00:55:00,User_56,Female,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,High
2023-01-01 00:56:00,User_57,Female,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,Moderate
2023-01-01 00:57:00,User_58,Male,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,Moderate
2023-01-01 00:58:00,User_59,Male,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,Moderate
2023-01-01 00:59:00,User_60,Male,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,High
2023-01-01 01:00:00,User_61,Male,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,Moderate
2023-01-01 01:01:00,User_62,Male,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,High
2023-01-01 01:02:00,User_63,Male,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,Moderate
2023-01-01 01:03:00,User_64,Male,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,High
2023-01-01 01:04:00,User_65,Male,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,Moderate
2023-01-01 01:05:00,User_66,Female,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,Moderate
2023-01-01 01:06:00,User_67,Female,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,High
2023-01-01 01:07:00,User_68,Male,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,High
2023-01-01 01:08:00,User_69,Female,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,High
2023-01-01 01:09:00,User_70,Female,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,Moderate
2023-01-01 01:10:00,User_71,Female,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,High
2023-01-01 01:11:00,User_72,Female,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,High
2023-01-01 01:12:00,User_73,Male,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,Moderate
2023-01-01 01:13:00,User_74,Female,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,High
2023-01-01 01:14:00,User_75,Male,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,Moderate
2023-01-01 01:15:00,User_76,Female,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,High
2023-01-01 01:16:00,User_77,Female,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,Moderate
2023-01-01 01:17:00,User_78,Female,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,High
2023-01-01 01:18:00,User_79,Male,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,Low
2023-01-01 01:19:00,User_80,Female,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,High
2023-01-01 01:20:00,User_81,Male,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,High
2023-01-01 01:21:00,User_82,Female,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,High
2023-01-01 01:22:00,User_83,Male,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,High
2023-01-01 01:23:00,User_84,Female,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,High
2023-01-01 01:24:00,User_85,Male,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,Moderate
2023-01-01 01:25:00,User_86,Male,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,Moderate
2023-01-01 01:26:00,User_87,Female,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,High
2023-01-01 01:27:00,User_88,Male,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,Moderate
2023-01-01 01:28:00,User_89,Female,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,Moderate
2023-01-01 01:29:00,User_90,Female,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,High
2023-01-01 01:30:00,User_91,Female,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,Moderate
2023-01-01 01:31:00,User_92,Female,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,Moderate
2023-01-01 01:32:00,User_93,Female,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,Moderate
2023-01-01 01:33:00,User_94,Female,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,Moderate
2023-01-01 01:34:00,User_95,Female,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,High
2023-01-01 01:35:00,User_96,Female,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,High
2023-01-01 01:36:00,User_97,Female,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,Moderate
2023-01-01 01:37:00,User_98,Female,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,High
2023-01-01 01:38:00,User_99,Female,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,High
2023-01-01 01:39:00,User_100,Male,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,Moderate
2023-01-01 01:40:00,User_101,Male,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,Moderate
2023-01-01 01:41:00,User_102,Female,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,High
2023-01-01 01:42:00,User_103,Female,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,Moderate
2023-01-01 01:43:00,User_104,Female,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,High
2023-01-01 01:44:00,User_105,Female,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,High
2023-01-01 01:45:00,User_106,Female,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,High
2023-01-01 01:46:00,User_107,Female,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,High
2023-01-01 01:47:00,User_108,Female,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,High
2023-01-01 01:48:00,User_109,Female,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,High
2023-01-01 01:49:00,User_110,Male,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,Moderate
2023-01-01 01:50:00,User_111,Female,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,High
2023-01-01 01:51:00,User_112,Male,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,Moderate
2023-01-01 01:52:00,User_113,Female,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,High
2023-01-01 01:53:00,User_114,Female,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,Moderate
2023-01-01 01:54:00,User_115,Male,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,High
2023-01-01 01:55:00,User_116,Female,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,High
2023-01-01 01:56:00,User_117,Male,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,Moderate
2023-01-01 01:57:00,User_118,Female,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,High
2023-01-01 01:58:00,User_119,Female,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,High
2023-01-01 01:59:00,User_120,Male,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,Moderate
2023-01-01 02:00:00,User_121,Female,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,High
2023-01-01 02:01:00,User_122,Male,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,Moderate
2023-01-01 02:02:00,User_123,Female,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,High
2023-01-01 02:03:00,User_124,Male,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,High
2023-01-01 02:04:00,User_125,Male,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,Moderate
2023-01-01 02:05:00,User_126,Female,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Moderate
2023-01-01 02:06:00,User_127,Female,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,High
2023-01-01 02:07:00,User_128,Male,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,High
2023-01-01 02:08:00,User_129,Female,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,High
2023-01-01 02:09:00,User_130,Female,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,Moderate
2023-01-01 02:10:00,User_131,Female,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,Moderate
2023-01-01 02:11:00,User_132,Male,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,Moderate
2023-01-01 02:12:00,User_133,Male,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,High
2023-01-01 02:13:00,User_134,Male,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,High
2023-01-01 02:14:00,User_135,Male,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,Moderate
2023-01-01 02:15:00,User_136,Male,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,High
2023-01-01 02:16:00,User_137,Male,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,Moderate
2023-01-01 02:17:00,User_138,Male,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,Moderate
2023-01-01 02:18:00,User_139,Male,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,High
2023-01-01 02:19:00,User_140,Male,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,High
2023-01-01 02:20:00,User_141,Female,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,Moderate
2023-01-01 02:21:00,User_142,Male,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,Moderate
2023-01-01 02:22:00,User_143,Female,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,High
2023-01-01 02:23:00,User_144,Female,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,High
2023-01-01 02:24:00,User_145,Female,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,Moderate
2023-01-01 02:25:00,User_146,Male,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,Moderate
2023-01-01 02:26:00,User_147,Male,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,High
2023-01-01 02:27:00,User_148,Male,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,High
2023-01-01 02:28:00,User_149,Male,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,Moderate
2023-01-01 02:29:00,User_150,Female,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,High
2023-01-01 02:30:00,User_151,Male,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,High
2023-01-01 02:31:00,User_152,Male,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,Low
2023-01-01 02:32:00,User_153,Male,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,High
2023-01-01 02:33:00,User_154,Male,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,High
2023-01-01 02:34:00,User_155,Male,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,Moderate
2023-01-01 02:35:00,User_156,Female,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,High
2023-01-01 02:36:00,User_157,Male,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,Moderate
2023-01-01 02:37:00,User_158,Female,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,High
2023-01-01 02:38:00,User_159,Male,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,Moderate
2023-01-01 02:39:00,User_160,Female,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,High
2023-01-01 02:40:00,User_161,Male,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,Moderate
2023-01-01 02:41:00,User_162,Male,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,High
2023-01-01 02:42:00,User_163,Female,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,High
2023-01-01 02:43:00,User_164,Female,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,Moderate
2023-01-01 02:44:00,User_165,Female,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,High
2023-01-01 02:45:00,User_166,Male,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,Moderate
2023-01-01 02:46:00,User_167,Female,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,High
2023-01-01 02:47:00,User_168,Male,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,High
2023-01-01 02:48:00,User_169,Male,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,Moderate
2023-01-01 02:49:00,User_170,Female,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,High
2023-01-01 02:50:00,User_171,Female,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,High
2023-01-01 02:51:00,User_172,Male,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,Moderate
2023-01-01 02:52:00,User_173,Male,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,Moderate
2023-01-01 02:53:00,User_174,Female,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,High
2023-01-01 02:54:00,User_175,Female,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,High
2023-01-01 02:55:00,User_176,Female,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,High
2023-01-01 02:56:00,User_177,Male,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,Moderate
2023-01-01 02:57:00,User_178,Male,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,Moderate
2023-01-01 02:58:00,User_179,Male,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,High
2023-01-01 02:59:00,User_180,Male,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,High
2023-01-01 03:00:00,User_181,Male,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,High
2023-01-01 03:01:00,User_182,Male,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,Moderate
2023-01-01 03:02:00,User_183,Female,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Moderate
2023-01-01 03:03:00,User_184,Male,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Low
2023-01-01 03:04:00,User_185,Male,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,Moderate
2023-01-01 03:05:00,User_186,Male,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,Moderate
2023-01-01 03:06:00,User_187,Female,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Moderate
2023-01-01 03:07:00,User_188,Male,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,High
2023-01-01 03:08:00,User_189,Male,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,Moderate
2023-01-01 03:09:00,User_190,Female,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,High
2023-01-01 03:10:00,User_191,Male,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,Moderate
2023-01-01 03:11:00,User_192,Male,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,High
2023-01-01 03:12:00,User_193,Male,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,Moderate
2023-01-01 03:13:00,User_194,Male,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,Moderate
2023-01-01 03:14:00,User_195,Male,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,High
2023-01-01 03:15:00,User_196,Female,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,High
2023-01-01 03:16:00,User_197,Female,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,High
2023-01-01 03:17:00,User_198,Female,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,Moderate
2023-01-01 03:18:00,User_199,Male,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,High
2023-01-01 03:19:00,User_200,Male,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,High
2023-01-01 03:20:00,User_201,Male,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,Moderate
2023-01-01 03:21:00,User_202,Female,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,Moderate
2023-01-01 03:22:00,User_203,Male,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,Moderate
2023-01-01 03:23:00,User_204,Male,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,Moderate
2023-01-01 03:24:00,User_205,Female,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,High
2023-01-01 03:25:00,User_206,Male,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,High
2023-01-01 03:26:00,User_207,Female,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,High
2023-01-01 03:27:00,User_208,Female,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,High
2023-01-01 03:28:00,User_209,Female,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,Moderate
2023-01-01 03:29:00,User_210,Male,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,Moderate
2023-01-01 03:30:00,User_211,Male,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Low
2023-01-01 03:31:00,User_212,Male,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,Moderate
2023-01-01 03:32:00,User_213,Male,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,Moderate
2023-01-01 03:33:00,User_214,Male,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,Moderate
2023-01-01 03:34:00,User_215,Male,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,Moderate
2023-01-01 03:35:00,User_216,Male,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Moderate
2023-01-01 03:36:00,User_217,Female,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,High
2023-01-01 03:37:00,User_218,Male,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,Moderate
2023-01-01 03:38:00,User_219,Female,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,High
2023-01-01 03:39:00,User_220,Male,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,Moderate
2023-01-01 03:40:00,User_221,Male,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,Moderate
2023-01-01 03:41:00,User_222,Male,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,Moderate
2023-01-01 03:42:00,User_223,Female,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,High
2023-01-01 03:43:00,User_224,Female,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,High
2023-01-01 03:44:00,User_225,Female,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,High
2023-01-01 03:45:00,User_226,Female,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,Moderate
2023-01-01 03:46:00,User_227,Male,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,High
2023-01-01 03:47:00,User_228,Female,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,High
2023-01-01 03:48:00,User_229,Male,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,Moderate
2023-01-01 03:49:00,User_230,Male,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,Moderate
2023-01-01 03:50:00,User_231,Female,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,High
2023-01-01 03:51:00,User_232,Female,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,High
2023-01-01 03:52:00,User_233,Female,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,Moderate
2023-01-01 03:53:00,User_234,Female,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,High
2023-01-01 03:54:00,User_235,Female,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,High
2023-01-01 03:55:00,User_236,Female,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Moderate
2023-01-01 03:56:00,User_237,Female,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,High
2023-01-01 03:57:00,User_238,Female,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,Moderate
2023-01-01 03:58:00,User_239,Male,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,High
2023-01-01 03:59:00,User_240,Female,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,High
2023-01-01 04:00:00,User_241,Female,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,Moderate
2023-01-01 04:01:00,User_242,Male,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,Moderate
2023-01-01 04:02:00,User_243,Female,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,High
2023-01-01 04:03:00,User_244,Male,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,Moderate
2023-01-01 04:04:00,User_245,Male,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,High
